Altium Designer Pick and Place Locations
C:\Users\gdr\Documents\darbai\Altium projects\RUT_L865_V4\Project Outputs for RUT_L865_V4\Pick Place\Pick Place for L865_V4_PCB.csv

========================================================================================================================
File Design Information:

Date:       25-03-19
Time:       09:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P6","U.FL","TopLayer","U.FL_Connector_Male","72.0100","65.6900","270",""
"L2","Inductor","TopLayer","L0402","70.4000","65.0500","90","Inductor"
"C5","Cap Semi","TopLayer","C0402","68.7000","65.7000","180","Capacitor (Semiconductor SIM Model)"
"C4","Cap Semi","TopLayer","C0402","69.9200","63.4600","180","Capacitor (Semiconductor SIM Model)"
"R23","Res2","TopLayer","R0402","30.8850","38.4400","180",""
"Q3","DMG1012T","TopLayer","SOT-523_custom","30.8850","40.0150","0","N-Channel Power MOSFET"
"R20","Res2","TopLayer","R0402","75.3100","69.4450","270",""
"R15","Res2","TopLayer","R0402","73.8450","70.1350","360",""
"ANT1","2JE04","TopLayer","2JE04","85.4700","47.9900","270","Generic Antenna"
"U8","DRTR5V0U2SR","TopLayer","SOT143M","33.7250","64.3750","360","2 Channel Low Capacitance TVS Diode Array"
"R19","Res2","TopLayer","R0402","37.9650","64.2550","180",""
"R18","Res2","TopLayer","R0402","37.9600","63.2450","180",""
"TP1","Test Point","TopLayer","5019_keystone","28.2750","36.0700","0","SMD Test Point"
"R11","Res2","TopLayer","R0402","32.5100","69.3100","270",""
"R10","Res2","TopLayer","R0402","37.5750","45.8650","90",""
"R9","Res2","TopLayer","R0402","38.0700","47.4200","180",""
"Q2","DMG1012T","TopLayer","SOT-523_custom","33.9550","69.1150","360","N-Channel Power MOSFET"
"Q1","DMG1012T","TopLayer","SOT-523_custom","33.0450","36.0400","270","N-Channel Power MOSFET"
"C31","Cap Semi","TopLayer","C0402","33.6250","49.7800","270","Capacitor (Semiconductor SIM Model)"
"C30","electrolytic capacitor","TopLayer","Case-B","35.4650","76.5840","90",""
"C29","electrolytic capacitor","TopLayer","Case-B","32.3850","76.5840","90",""
"C28","Cap Semi","TopLayer","C0402","64.9400","77.7050","90","Capacitor (Semiconductor SIM Model)"
"C27","Cap Semi","TopLayer","C0402","51.3800","76.8900","360","Capacitor (Semiconductor SIM Model)"
"U7","74LVC1T45","TopLayer","SOT23-6_custom","65.8800","44.7235","270",""
"U6","74LVC1T45","TopLayer","SOT23-6_custom","53.1500","44.7235","270",""
"U5","ISL9021AIRUNZ","TopLayer","uTDFN-6","40.3050","45.8900","180","LDO"
"U4","ISL80103","TopLayer","QFN50P300X300X100_HS-11N","34.3600","71.9650","270",""
"U3","74LVC1T45","TopLayer","SOT23-6_custom","59.4450","44.7235","270",""
"U2","74LVC1T45","TopLayer","SOT23-6_custom","46.9300","44.7235","270",""
"U1","GL865_V4","TopLayer","GL865_V4","53.3900","63.3900","0",""
"R8","Res2","TopLayer","R0402","30.8950","42.7750","360",""
"R7","Res2","TopLayer","R0402","29.7750","71.8800","180",""
"R6","Res2","TopLayer","R0402","31.1850","73.4500","270",""
"R5","Res2","TopLayer","R0402","35.3950","69.1850","270",""
"R4","Res2","TopLayer","R0402","38.5550","65.6800","180",""
"R3","Res2","TopLayer","R0402","36.5950","46.8450","270",""
"R2","Res2","TopLayer","R0402","31.4400","36.0400","90",""
"R1","Res2","TopLayer","R0402","30.9000","41.5900","360",""
"P1","DIGITAL 1","TopLayer","HDR1X10","63.7150","32.1300","360",""
